,full_text,tweet_english
0,TAPI SEKARANG SUDAH MELEWATI JALAN TOL,BUT NOW IT HAS PASSED THE TOLL ROAD
1,"macam2 insiden di toll jadi tetap juga ada bang kan tidak menjadi NOL untuk di tol misal sering menabrak kendaraan didepannya, atau slip terguling, tabrak marka jalan, over speeding","There are also various incidents on the toll road, so it's not a ZERO for the toll road, for example, often hitting the vehicle in front of it, or rolling slips, hitting road markings, over speeding."
2,Kita sudah di ajarkan tentang Smith sistem defensive driving dll. Mugkin dulu ketika masih bernama Caltex accident tak begitu diperhatikan. Biaya produksi masih tertutupi oleh hasil SDA yg melimpah.Dulu setelah swab test hasil Cruise oil masih 90% dg design reda pump HN 13500/... Stg/250HP dg pump set rendah Sekarang hanya memakai D425N / stg / HP dg PS nya dalam karna water cut sudah 99.9%.Makanya safety menjadi prioritas unggulan dlm program Chevron atau perusahaan migas.,We have been taught about Smith defensive driving system etc. Maybe in the past when it was still called Caltex accidents were not so concerned. Production costs are still covered by the abundant natural resources.In the past after the swab test the Cruise oil results were still 90% with the design reda pump HN 13500 /... Stg/250HP with low pump set Now only use D425N / stg / HP with deep PS because the water cut is 99.9%.That's why safety is a top priority in Chevron's program or oil and gas companies.
3,"Reda size yg mo di install berdasarkan hasil swab sy setuju boss Tapi kok korelasi nya ke ""SAFETY FIRST""sepertinya nggak nyambung tuh maaf apa argu sy ini salah salam sehat",Reda size that mo installed based on the results of the swab I agree boss But how come the correlation to “SAFETY FIRST” does not seem to be connected tuh sorry what my argument is wrong healthy greetings
4,iya setuju pak Eldy...belum nampak korelasi antara tingkat produksi dan angka kecelakaan lalin..,Yes I agree Mr Eldy...there is no correlation between the level of production and the number of traffic accidents …
5,"Penggunaan mobil operasional pun dikurang, TDK ada lagi supv atau supt departemen yg mendapat fasilitas mobil 24jam kecuali oncall","The use of operational cars has also been reduced, no more supv or supt departments get 24 hour car facilities except oncall."
6,Apakah bukan karena jalan licin berminyak?,Is it not because of the oily slippery road
7,"tapi menurut Liz, kejadiannya di tanjakan dan dari arah depan ada truk datang dengan ""mencuri jalan"" beliau tabrakan tidak terelakkan lagi…","but according to Liz, the incident occurred on an incline and from the front direction there was a truck coming with “stealing the road” he collided inevitably "
8,Waktu itu belum ada smith systim,At that time there was no smith systim
9,"bisa dijabarkan lagi pak, dari sistem itu apa yang perlu diperhatikan","can be elaborated again sir, from the system what needs to be considered"
10,dapat token ndak Pak,whether to get a token sir
11,he he biar pembaca tahu dengan sistem yang anda sebutkan loh..bukan untuk aku tokennya,he he let readers know with the system you mentioned 
12,Ini stir kiri atau kanan bang ,This is left or right hand drive 
13,kalau produksi Amrik pasti stir Kiri..,f the production of the USA must be left-hand drive 
14,Smith System adakah yg tahu sejarahnya Smith System,Smith System does anyone know the history of the Smith System
15,Ini sih saat kaum Marxisme menguasai pemerintahan Soekarno dan berakibat G30S PKI Era Koes Ploes  Bis Sekolah ,This is when the Marxists controlled the Soekarno government and resulted in the G30S PKI Era Koes Ploes School Bus.
16,Chevrolet biasa disebut Chevy pangilan sayang orang Texas,Chevrolet is commonly called Chevy after the Texans.
17,Maka kampanye CPI tetap safety first. Pre trip inspection. Apa lagi? Banyak itu selalu di tulis sepanjang jalan.,So the CPI campaign remains safety first. Pre trip inspection. What else? A lot of it is always written along the way.
18,"Sy rasa saat itu belum di galakkan Defensive Driving Habits. Disamping itu mungkin karena pd tahun² itu jalanan masih sepi, Rambu² terbatas, jadi pengemudi abai. Se ingat saya DDC baru dimulai tahun² 70an. Saya ikut DDC pertama kali sesaat sebelum selesai Automotive Mechanical Training July 1972 setelah lulus Driver Training dan dapat SIM (Rebewes). Di DDC tsb lah kita diajar pake seat belt, sehingga kita² dari awal nyetir di Caltex sdh biasa dgn seat belt yg jd bully an pegawai² lama yg cuek dgn itu. Mereka bilang: wah amerika hitam,,,, karena yg selalu pake seat belt saat itu ya bule².","I guess at that time Defensive Driving Habits was not encouraged. Besides, maybe because in those years the roads were still quiet, signs were limited, so drivers were ignorant. As far as I remember, DDC only started in the 70s. I joined DDC for the first time just before finishing Automotive Mechanical Training in July 1972 after passing Driver Training and getting my driver's license (Rebewes). It was in DDC that we were taught to use seat belts, so that we were used to driving at Caltex from the beginning with seat belts, which became a bully for old employees who were ignorant of it"
19,"Beliau sangat dihormati dan ditakuti, sewaktu beliau kecelakaan masuk ke air panas di Pinang GS di bln Maret 1979 klo ndak salah, saya lagi mandah di Bangko kala itu.","He was very respected and feared, when he had an accident in the hot water at Pinang GS in March 1979 if I'm not mistaken, I was in Bangko at that time."
20,"Terima kasih To'et. Peristiwa yg selalu melekat di hati kami sekeluarga, yg susah untuk dilupakan. Persis hari kemarin 11 April 1979...alfatehah","Thank you . An event that will always stick in our hearts as a family, which is hard to forget. Exactly yesterday April 11, 1979 alfatehah"
21,apakah bapak ini pak muchtar yg anaknya bang ismet yg skrg rumah ibu(istri pak muchtar) di belakang masjid taufiq walhidayah jalan berdikari rumbai?,Is this father pak muchtar whose son bang ismet whose mother's house (pak muchtar's wife) is behind the mosque taufiq walhidayah berdikari road rumbai?
22,alfatihah buat papanya.. Moga dilapangkan kuburnya.. Amiin Yra,alfatihah for his father... May his grave be expanded... Ameen Yra
23,Rahimahullah pak muchtar bos papa saya berarti,Rahimahullah pak muchtar boss my papa means
24,Saya pernah oleh belau di suruh pulang untuk training bawa mobil gara eksident di menggala juntion steam moobil yangsaya pkai nabrak broiler steam,was once told by him to go home for training to bring a car because of an incident at the menggala juntion steam car that I used to hit a steam broiler.
25,Waktu itu 5bln kerja thn74,It was 5 months of work in 1974
26,semoga husnul khotimah ayahanda,hopefully husnul khotimah your father
27,"Iyaa sama2 bg ,ga sengaja pula tepatnya kmaren 11 april nya, sdh 41th berlalu Alfatehah utk kedua org tua kita","Yes, it's the same, not intentionally anyway, precisely yesterday April 11, 41 years have passed Alfatehah for both of our parents"
28,Alfatehah....,Alfatehah
29,"Legendaris, nama besar beliau","Legendary, his big name"
30,"Banyak kali lah simpanan mu Son...Saya juga kenal pak Muchtar. Di dalam ketegasan dan ucapannya, alm sosok yg baik hati dan tidak sombong.","Many times your savings Son...I also know Mr. Muchtar. In his firmness and speech, he was kind and not arrogant."
31,Adalah sedikit pak Nanti msih ad bbrp lg berita lamo sy share d sini,Is a little sir Later there will be some more old news I share here
32,Apakah bpk Muchtar ini ex superv well service Minas thn 1960 an,Is Mr. Muchtar an ex superv well service Minas in the 1960s
33,betul sekali,That's right.
34,Al Fateha utk papanya ya  late post ,Al Fateha for his father yes late post 
